analysis_block,endpoint,feature_set,feature,raw_feature,coef,abs_coef,feature_scope
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,cat__smoking_Ex,smoking,-1.050535798072815,1.050535798072815,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,cat__histology_others,histology,0.8847914338111877,0.8847914338111877,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__age,age,0.31021785736083984,0.31021785736083984,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__bio__patient_cd16_score_mean,bio__patient_cd16_score_mean,2.370718240737915,2.370718240737915,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__bio__patient_cd14_score_mean,bio__patient_cd14_score_mean,1.356811761856079,1.356811761856079,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__pc__effector_CD8_T_PC1,pc__effector_CD8_T_PC1,1.208324670791626,1.208324670791626,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__pc__NK_PC1,pc__NK_PC1,-0.8422098755836487,0.8422098755836487,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__bio__LM_SBP_2part_ilr,bio__LM_SBP_2part_ilr,0.6330075860023499,0.6330075860023499,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__pc__naive_TCM_CD4_T_PC1,pc__naive_TCM_CD4_T_PC1,-0.529301643371582,0.529301643371582,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__bio__CD14_CD16_SBP_2part_ilr,bio__CD14_CD16_SBP_2part_ilr,0.42546969652175903,0.42546969652175903,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__pc__naive_TCM_CD4_T_PC2,pc__naive_TCM_CD4_T_PC2,0.34153735637664795,0.34153735637664795,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__pc__effector_CD8_T_PC2,pc__effector_CD8_T_PC2,0.29475271701812744,0.29475271701812744,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__bio__patient_naive_score_mean,bio__patient_naive_score_mean,0.08762151002883911,0.08762151002883911,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__pc__NK_PC2,pc__NK_PC2,0.08025500923395157,0.08025500923395157,immune
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__pc__CD14_Mono_PC2,pc__CD14_Mono_PC2,0.0,0.0,immune
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,cat__egfr_status_Wild-Type,egfr_status,17.31670570373535,17.31670570373535,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,cat__sex_M,sex,-15.872186660766602,15.872186660766602,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,cat__previous_target_Yes,previous_target,8.80176067352295,8.80176067352295,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,cat__smoking_Never,smoking,-8.643622398376465,8.643622398376465,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,cat__io_line_≥2nd line,io_line,-4.411591053009033,4.411591053009033,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,cat__ecog_1,ecog,-4.183887481689453,4.183887481689453,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,cat__ecog_2,ecog,-3.762040376663208,3.762040376663208,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,cat__histology_LUSC,histology,-3.08831787109375,3.08831787109375,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,cat__pd_l1_tps_≥50,pd_l1_tps,2.4016942977905273,2.4016942977905273,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,cat__pd_l1_tps_<1,pd_l1_tps,-1.7092525959014893,1.7092525959014893,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,cat__histology_others,histology,1.385019302368164,1.385019302368164,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,cat__smoking_Ex,smoking,-1.359041452407837,1.359041452407837,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,num__age,age,0.6993855834007263,0.6993855834007263,clinical
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,num__bio__patient_cd16_score_mean,bio__patient_cd16_score_mean,1.7824307680130005,1.7824307680130005,immune
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,num__bio__patient_cd14_score_mean,bio__patient_cd14_score_mean,1.2092704772949219,1.2092704772949219,immune
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,num__bio__patient_naive_score_mean,bio__patient_naive_score_mean,0.47323518991470337,0.47323518991470337,immune
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,num__bio__LM_SBP_2part_ilr,bio__LM_SBP_2part_ilr,0.3298841416835785,0.3298841416835785,immune
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,num__bio__CD14_CD16_SBP_2part_ilr,bio__CD14_CD16_SBP_2part_ilr,-0.13039809465408325,0.13039809465408325,immune
secondary,Binarized_response,immune_only_bio_sbp_plus_pc,num__pc__effector_CD8_T_PC1,pc__effector_CD8_T_PC1,0.5012301802635193,0.5012301802635193,immune
secondary,Binarized_response,immune_only_bio_sbp_plus_pc,num__bio__patient_cd16_score_mean,bio__patient_cd16_score_mean,0.45792827010154724,0.45792827010154724,immune
secondary,Binarized_response,immune_only_bio_sbp_plus_pc,num__bio__LM_SBP_2part_ilr,bio__LM_SBP_2part_ilr,0.3424758315086365,0.3424758315086365,immune
secondary,Binarized_response,immune_only_bio_sbp_plus_pc,num__pc__NK_PC1,pc__NK_PC1,-0.2904804050922394,0.2904804050922394,immune
secondary,Binarized_response,immune_only_bio_sbp_plus_pc,num__pc__effector_CD8_T_PC2,pc__effector_CD8_T_PC2,0.21756835281848907,0.21756835281848907,immune
secondary,Binarized_response,immune_only_bio_sbp_plus_pc,num__bio__CD14_CD16_SBP_2part_ilr,bio__CD14_CD16_SBP_2part_ilr,-0.05416709557175636,0.05416709557175636,immune
secondary,Binarized_response,immune_only_bio_sbp_plus_pc,num__bio__patient_naive_score_mean,bio__patient_naive_score_mean,0.043362002819776535,0.043362002819776535,immune
secondary,Binarized_response,immune_only_bio_sbp_plus_pc,num__pc__naive_TCM_CD4_T_PC1,pc__naive_TCM_CD4_T_PC1,-0.008384221233427525,0.008384221233427525,immune
secondary,Binarized_response,immune_only_bio_sbp_plus_pc,num__bio__patient_cd14_score_mean,bio__patient_cd14_score_mean,0.0,0.0,immune
secondary,Binarized_response,immune_only_bio_sbp_plus_pc,num__pc__CD14_Mono_PC1,pc__CD14_Mono_PC1,0.0,0.0,immune
secondary,Binarized_response,immune_only_bio_sbp_plus_pc,num__pc__CD14_Mono_PC2,pc__CD14_Mono_PC2,0.0,0.0,immune
secondary,Binarized_response,immune_only_bio_sbp_plus_pc,num__pc__NK_PC2,pc__NK_PC2,0.0,0.0,immune
secondary,Binarized_response,immune_only_bio_sbp_plus_pc,num__pc__naive_TCM_CD4_T_PC2,pc__naive_TCM_CD4_T_PC2,0.0,0.0,immune
secondary,PFS,clinical_plus_bio_sbp,cat__egfr_status_Wild-Type,egfr_status,-1.4205591531323887,1.4205591531323887,clinical
secondary,PFS,clinical_plus_bio_sbp,cat__io_line_≥2nd line,io_line,1.1856979978850688,1.1856979978850688,clinical
secondary,PFS,clinical_plus_bio_sbp,cat__sex_M,sex,1.0406388793152779,1.0406388793152779,clinical
secondary,PFS,clinical_plus_bio_sbp,cat__ecog_2,ecog,0.751740785820276,0.751740785820276,clinical
secondary,PFS,clinical_plus_bio_sbp,cat__ecog_1,ecog,0.5786037298923851,0.5786037298923851,clinical
secondary,PFS,clinical_plus_bio_sbp,cat__histology_LUSC,histology,0.565991468818171,0.565991468818171,clinical
secondary,PFS,clinical_plus_bio_sbp,cat__previous_target_Yes,previous_target,-0.48318660062608937,0.48318660062608937,clinical
secondary,PFS,clinical_plus_bio_sbp,cat__histology_others,histology,-0.08550613634383293,0.08550613634383293,clinical
secondary,PFS,clinical_plus_bio_sbp,num__age,age,-0.07345994414056493,0.07345994414056493,clinical
secondary,PFS,clinical_plus_bio_sbp,cat__smoking_Ex,smoking,0.00462399171587114,0.00462399171587114,clinical
secondary,PFS,clinical_plus_bio_sbp,cat__smoking_Never,smoking,6.768840250596887e-06,6.768840250596887e-06,clinical
secondary,PFS,clinical_plus_bio_sbp,num__bio__CD14_CD16_SBP_2part_ilr,bio__CD14_CD16_SBP_2part_ilr,0.27052676507959145,0.27052676507959145,immune
secondary,PFS,clinical_plus_bio_sbp,num__bio__LM_SBP_2part_ilr,bio__LM_SBP_2part_ilr,-0.1541880701921921,0.1541880701921921,immune
secondary,PFS,clinical_plus_bio_sbp,num__bio__patient_cd16_score_mean,bio__patient_cd16_score_mean,-0.09442411617166184,0.09442411617166184,immune
secondary,PFS,clinical_plus_bio_sbp,num__bio__patient_cd14_score_mean,bio__patient_cd14_score_mean,4.990277702512698e-06,4.990277702512698e-06,immune
secondary,PFS,clinical_plus_bio_sbp,num__bio__patient_naive_score_mean,bio__patient_naive_score_mean,-2.697035917076281e-06,2.697035917076281e-06,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc,cat__io_line_≥2nd line,io_line,0.6941330171552975,0.6941330171552975,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc,cat__egfr_status_Wild-Type,egfr_status,-0.2548019196293331,0.2548019196293331,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc,cat__ecog_1,ecog,0.1770823855600832,0.1770823855600832,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc,cat__sex_M,sex,0.17549971841974674,0.17549971841974674,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc,cat__histology_LUSC,histology,0.042854801253771786,0.042854801253771786,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc,cat__histology_others,histology,-1.04743811927238e-06,1.04743811927238e-06,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc,cat__ecog_2,ecog,7.110719327732368e-07,7.110719327732368e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc,cat__smoking_Never,smoking,-6.339684684629232e-07,6.339684684629232e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc,cat__smoking_Ex,smoking,3.1210173141946186e-07,3.1210173141946186e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc,cat__previous_target_Yes,previous_target,9.962295070141754e-08,9.962295070141754e-08,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc,num__age,age,2.1047900498598065e-08,2.1047900498598065e-08,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc,num__bio__CD14_CD16_SBP_2part_ilr,bio__CD14_CD16_SBP_2part_ilr,0.19139114251838074,0.19139114251838074,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc,num__pc__effector_CD8_T_PC2,pc__effector_CD8_T_PC2,-0.097525280386119,0.097525280386119,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc,num__bio__LM_SBP_2part_ilr,bio__LM_SBP_2part_ilr,-0.09426631992032249,0.09426631992032249,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc,num__pc__naive_TCM_CD4_T_PC2,pc__naive_TCM_CD4_T_PC2,0.008213517884268605,0.008213517884268605,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc,num__bio__patient_cd14_score_mean,bio__patient_cd14_score_mean,1.5495794573650093e-07,1.5495794573650093e-07,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc,num__pc__naive_TCM_CD4_T_PC1,pc__naive_TCM_CD4_T_PC1,1.2640671721612724e-07,1.2640671721612724e-07,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc,num__pc__CD14_Mono_PC2,pc__CD14_Mono_PC2,-9.461712166713343e-08,9.461712166713343e-08,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc,num__bio__patient_cd16_score_mean,bio__patient_cd16_score_mean,-9.384392998007809e-08,9.384392998007809e-08,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc,num__bio__patient_naive_score_mean,bio__patient_naive_score_mean,6.03549967095922e-08,6.03549967095922e-08,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc,num__pc__NK_PC1,pc__NK_PC1,4.4825540968759125e-08,4.4825540968759125e-08,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc,num__pc__effector_CD8_T_PC1,pc__effector_CD8_T_PC1,-4.2899843111598285e-08,4.2899843111598285e-08,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc,num__pc__NK_PC2,pc__NK_PC2,1.2800429388996888e-08,1.2800429388996888e-08,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,cat__io_line_≥2nd line,io_line,5.179801306820692e-07,5.179801306820692e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,cat__pd_l1_tps_≥50,pd_l1_tps,-4.489835241781057e-07,4.489835241781057e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,cat__ecog_1,ecog,4.1831970393422894e-07,4.1831970393422894e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,cat__pd_l1_tps_<1,pd_l1_tps,2.883535675426016e-07,2.883535675426016e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,cat__egfr_status_Wild-Type,egfr_status,-2.837552574303719e-07,2.837552574303719e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,cat__sex_M,sex,2.2573264538675907e-07,2.2573264538675907e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,cat__histology_others,histology,-2.0055105637090599e-07,2.0055105637090599e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,cat__previous_target_Yes,previous_target,1.785332123322698e-07,1.785332123322698e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,cat__smoking_Never,smoking,-1.542752664555448e-07,1.542752664555448e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,cat__ecog_2,ecog,1.513564344962735e-07,1.513564344962735e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,cat__smoking_Ex,smoking,8.487042201329106e-08,8.487042201329106e-08,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__age,age,1.6291893376423166e-08,1.6291893376423166e-08,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,cat__histology_LUSC,histology,-1.2300142850763545e-08,1.2300142850763545e-08,clinical
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__bio__patient_cd14_score_mean,bio__patient_cd14_score_mean,1.2619900959532394e-07,1.2619900959532394e-07,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__bio__CD14_CD16_SBP_2part_ilr,bio__CD14_CD16_SBP_2part_ilr,1.0816117565282761e-07,1.0816117565282761e-07,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__pc__effector_CD8_T_PC2,pc__effector_CD8_T_PC2,-8.73969758428566e-08,8.73969758428566e-08,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__bio__LM_SBP_2part_ilr,bio__LM_SBP_2part_ilr,-8.291552427733982e-08,8.291552427733982e-08,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__bio__patient_cd16_score_mean,bio__patient_cd16_score_mean,-3.929132034709302e-08,3.929132034709302e-08,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__pc__effector_CD8_T_PC1,pc__effector_CD8_T_PC1,-2.6342245775158513e-08,2.6342245775158513e-08,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__pc__naive_TCM_CD4_T_PC1,pc__naive_TCM_CD4_T_PC1,2.1825810591610892e-08,2.1825810591610892e-08,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__pc__naive_TCM_CD4_T_PC2,pc__naive_TCM_CD4_T_PC2,2.0499752992344224e-08,2.0499752992344224e-08,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__bio__patient_naive_score_mean,bio__patient_naive_score_mean,-1.8528042548864918e-08,1.8528042548864918e-08,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__pc__CD14_Mono_PC2,pc__CD14_Mono_PC2,-6.760166521652991e-09,6.760166521652991e-09,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__pc__NK_PC2,pc__NK_PC2,6.573085588891441e-09,6.573085588891441e-09,immune
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,num__pc__NK_PC1,pc__NK_PC1,-3.580610939425891e-09,3.580610939425891e-09,immune
secondary,PFS,clinical_plus_bio_sbp_with_pd_l1,cat__io_line_≥2nd line,io_line,4.5220127027805184e-07,4.5220127027805184e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_with_pd_l1,cat__pd_l1_tps_≥50,pd_l1_tps,-3.911582957203692e-07,3.911582957203692e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_with_pd_l1,cat__ecog_1,ecog,3.795092899410363e-07,3.795092899410363e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_with_pd_l1,cat__egfr_status_Wild-Type,egfr_status,-2.606884591940779e-07,2.606884591940779e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_with_pd_l1,cat__pd_l1_tps_<1,pd_l1_tps,2.589991349931055e-07,2.589991349931055e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_with_pd_l1,cat__sex_M,sex,2.0860316752592218e-07,2.0860316752592218e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_with_pd_l1,cat__histology_others,histology,-1.8521158420017067e-07,1.8521158420017067e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_with_pd_l1,cat__previous_target_Yes,previous_target,1.6505387463394938e-07,1.6505387463394938e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_with_pd_l1,cat__smoking_Never,smoking,-1.4283987064314392e-07,1.4283987064314392e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_with_pd_l1,cat__ecog_2,ecog,1.4028161387388004e-07,1.4028161387388004e-07,clinical
secondary,PFS,clinical_plus_bio_sbp_with_pd_l1,cat__smoking_Ex,smoking,7.856765255652749e-08,7.856765255652749e-08,clinical
