celltype,pca_feature,nmf_feature,correlation,abs_correlation
naive/TCM CD4+T,naive/TCM CD4+T_PC1,naive/TCM CD4+T_NMF2,-0.5510907919722967,0.5510907919722967
NK,NK_PC3,NK_NMF5,-0.39604457539945737,0.39604457539945737
naive/TCM CD4+T,naive/TCM CD4+T_PC3,naive/TCM CD4+T_NMF4,0.3465972381977228,0.3465972381977228
NK,NK_PC2,NK_NMF3,0.33933529555404235,0.33933529555404235
CD14 Mono,CD14 Mono_PC1,CD14 Mono_NMF3,0.29834734969360865,0.29834734969360865
NK,NK_PC4,NK_NMF1,0.2923926313681183,0.2923926313681183
naive/TCM CD4+T,naive/TCM CD4+T_PC4,naive/TCM CD4+T_NMF5,-0.2720617539436984,0.2720617539436984
naive/TCM CD4+T,naive/TCM CD4+T_PC1,naive/TCM CD4+T_NMF1,-0.2558441064987264,0.2558441064987264
NK,NK_PC1,NK_NMF5,0.22890728018144474,0.22890728018144474
naive/TCM CD4+T,naive/TCM CD4+T_PC2,naive/TCM CD4+T_NMF3,0.22685714072581747,0.22685714072581747
effector CD8+T,effector CD8+T_PC6,effector CD8+T_NMF5,0.22472981110312723,0.22472981110312723
NK,NK_PC3,NK_NMF4,-0.21459925252786363,0.21459925252786363
effector CD8+T,effector CD8+T_PC3,effector CD8+T_NMF4,0.21111615305826342,0.21111615305826342
CD14 Mono,CD14 Mono_PC1,CD14 Mono_NMF4,0.20714991895982413,0.20714991895982413
NK,NK_PC1,NK_NMF4,0.20577869448327207,0.20577869448327207
NK,NK_PC1,NK_NMF2,0.20234870103621327,0.20234870103621327
CD14 Mono,CD14 Mono_PC3,CD14 Mono_NMF5,-0.19541638327185604,0.19541638327185604
effector CD8+T,effector CD8+T_PC7,effector CD8+T_NMF3,-0.18923513581653384,0.18923513581653384
NK,NK_PC3,NK_NMF2,-0.18850811090922812,0.18850811090922812
NK,NK_PC5,NK_NMF4,0.17467477807104675,0.17467477807104675
effector CD8+T,effector CD8+T_PC5,effector CD8+T_NMF2,0.1730627263064591,0.1730627263064591
naive/TCM CD4+T,naive/TCM CD4+T_PC2,naive/TCM CD4+T_NMF5,-0.17123829612959743,0.17123829612959743
effector CD8+T,effector CD8+T_PC3,effector CD8+T_NMF1,0.1585165223600247,0.1585165223600247
naive/TCM CD4+T,naive/TCM CD4+T_PC4,naive/TCM CD4+T_NMF3,0.15648705144531821,0.15648705144531821
NK,NK_PC4,NK_NMF3,0.15446824744049853,0.15446824744049853
CD14 Mono,CD14 Mono_PC1,CD14 Mono_NMF1,0.1508567686768053,0.1508567686768053
CD14 Mono,CD14 Mono_PC2,CD14 Mono_NMF1,-0.15054913119037128,0.15054913119037128
naive/TCM CD4+T,naive/TCM CD4+T_PC5,naive/TCM CD4+T_NMF4,-0.1496428921407009,0.1496428921407009
CD14 Mono,CD14 Mono_PC2,CD14 Mono_NMF4,-0.1496333762422527,0.1496333762422527
NK,NK_PC4,NK_NMF5,0.1483124153438876,0.1483124153438876
naive/TCM CD4+T,naive/TCM CD4+T_PC1,naive/TCM CD4+T_NMF4,-0.14717149955939066,0.14717149955939066
effector CD8+T,effector CD8+T_PC6,effector CD8+T_NMF3,0.14391195933870352,0.14391195933870352
CD14 Mono,CD14 Mono_PC2,CD14 Mono_NMF5,-0.14050439119355015,0.14050439119355015
CD14 Mono,CD14 Mono_PC2,CD14 Mono_NMF3,0.13865026296691008,0.13865026296691008
CD14 Mono,CD14 Mono_PC4,CD14 Mono_NMF5,0.13558943777141894,0.13558943777141894
CD14 Mono,CD14 Mono_PC3,CD14 Mono_NMF2,0.13247534390927534,0.13247534390927534
NK,NK_PC5,NK_NMF1,0.13073485982181426,0.13073485982181426
naive/TCM CD4+T,naive/TCM CD4+T_PC1,naive/TCM CD4+T_NMF5,-0.1277184293366315,0.1277184293366315
effector CD8+T,effector CD8+T_PC7,effector CD8+T_NMF4,-0.1272999420364646,0.1272999420364646
effector CD8+T,effector CD8+T_PC5,effector CD8+T_NMF3,-0.1264438549262354,0.1264438549262354
effector CD8+T,effector CD8+T_PC2,effector CD8+T_NMF5,-0.12629022363035697,0.12629022363035697
effector CD8+T,effector CD8+T_PC2,effector CD8+T_NMF4,-0.12581311465884173,0.12581311465884173
effector CD8+T,effector CD8+T_PC6,effector CD8+T_NMF2,0.12438242054612464,0.12438242054612464
effector CD8+T,effector CD8+T_PC3,effector CD8+T_NMF2,-0.12085331487048594,0.12085331487048594
CD14 Mono,CD14 Mono_PC4,CD14 Mono_NMF3,-0.11892247828370645,0.11892247828370645
effector CD8+T,effector CD8+T_PC7,effector CD8+T_NMF5,-0.11699387578497537,0.11699387578497537
naive/TCM CD4+T,naive/TCM CD4+T_PC1,naive/TCM CD4+T_NMF3,0.11503158323148359,0.11503158323148359
effector CD8+T,effector CD8+T_PC1,effector CD8+T_NMF3,0.10843042531211843,0.10843042531211843
effector CD8+T,effector CD8+T_PC5,effector CD8+T_NMF4,-0.10781001685447246,0.10781001685447246
CD14 Mono,CD14 Mono_PC4,CD14 Mono_NMF2,-0.10756813386279174,0.10756813386279174
effector CD8+T,effector CD8+T_PC2,effector CD8+T_NMF2,-0.10721049868791685,0.10721049868791685
naive/TCM CD4+T,naive/TCM CD4+T_PC5,naive/TCM CD4+T_NMF3,-0.10275245293045676,0.10275245293045676
NK,NK_PC5,NK_NMF3,0.10267861871312696,0.10267861871312696
CD14 Mono,CD14 Mono_PC1,CD14 Mono_NMF5,0.10106401372549144,0.10106401372549144
NK,NK_PC4,NK_NMF2,-0.09505702725798232,0.09505702725798232
effector CD8+T,effector CD8+T_PC2,effector CD8+T_NMF3,-0.09367092317355433,0.09367092317355433
CD14 Mono,CD14 Mono_PC2,CD14 Mono_NMF2,-0.09317354082909451,0.09317354082909451
CD14 Mono,CD14 Mono_PC4,CD14 Mono_NMF1,0.0929055282546081,0.0929055282546081
NK,NK_PC1,NK_NMF3,0.09284844082267896,0.09284844082267896
CD14 Mono,CD14 Mono_PC1,CD14 Mono_NMF2,0.09081964320267846,0.09081964320267846
CD14 Mono,CD14 Mono_PC3,CD14 Mono_NMF4,-0.0877487689519509,0.0877487689519509
naive/TCM CD4+T,naive/TCM CD4+T_PC4,naive/TCM CD4+T_NMF2,-0.08572067104036225,0.08572067104036225
naive/TCM CD4+T,naive/TCM CD4+T_PC2,naive/TCM CD4+T_NMF1,0.08393768458588804,0.08393768458588804
CD14 Mono,CD14 Mono_PC3,CD14 Mono_NMF1,-0.07869422461846058,0.07869422461846058
effector CD8+T,effector CD8+T_PC5,effector CD8+T_NMF5,-0.07560108330647243,0.07560108330647243
NK,NK_PC1,NK_NMF1,0.07263878200756801,0.07263878200756801
NK,NK_PC4,NK_NMF4,0.07084111880794676,0.07084111880794676
effector CD8+T,effector CD8+T_PC7,effector CD8+T_NMF1,-0.06359019954213602,0.06359019954213602
naive/TCM CD4+T,naive/TCM CD4+T_PC3,naive/TCM CD4+T_NMF5,-0.061231709648206574,0.061231709648206574
naive/TCM CD4+T,naive/TCM CD4+T_PC4,naive/TCM CD4+T_NMF4,-0.060422315980908345,0.060422315980908345
effector CD8+T,effector CD8+T_PC1,effector CD8+T_NMF5,0.056746085663055355,0.056746085663055355
NK,NK_PC2,NK_NMF5,-0.056565327009256004,0.056565327009256004
effector CD8+T,effector CD8+T_PC4,effector CD8+T_NMF1,0.052264752951198895,0.052264752951198895
NK,NK_PC3,NK_NMF3,0.051641997108067356,0.051641997108067356
effector CD8+T,effector CD8+T_PC1,effector CD8+T_NMF2,0.05131819367580913,0.05131819367580913
naive/TCM CD4+T,naive/TCM CD4+T_PC2,naive/TCM CD4+T_NMF2,-0.05097702322011419,0.05097702322011419
effector CD8+T,effector CD8+T_PC6,effector CD8+T_NMF1,-0.05066976597083929,0.05066976597083929
NK,NK_PC2,NK_NMF1,0.04976257368408509,0.04976257368408509
CD14 Mono,CD14 Mono_PC3,CD14 Mono_NMF3,0.04973152024775681,0.04973152024775681
effector CD8+T,effector CD8+T_PC4,effector CD8+T_NMF2,0.04263165714027503,0.04263165714027503
NK,NK_PC2,NK_NMF4,-0.04212309355894474,0.04212309355894474
naive/TCM CD4+T,naive/TCM CD4+T_PC5,naive/TCM CD4+T_NMF5,-0.0407778769228537,0.0407778769228537
NK,NK_PC2,NK_NMF2,0.04031175435508177,0.04031175435508177
effector CD8+T,effector CD8+T_PC4,effector CD8+T_NMF3,-0.04021759930039146,0.04021759930039146
effector CD8+T,effector CD8+T_PC3,effector CD8+T_NMF5,-0.035682656685447366,0.035682656685447366
naive/TCM CD4+T,naive/TCM CD4+T_PC5,naive/TCM CD4+T_NMF2,-0.03447480328904707,0.03447480328904707
effector CD8+T,effector CD8+T_PC1,effector CD8+T_NMF4,-0.03403320436229568,0.03403320436229568
effector CD8+T,effector CD8+T_PC2,effector CD8+T_NMF1,-0.03374267703043667,0.03374267703043667
naive/TCM CD4+T,naive/TCM CD4+T_PC4,naive/TCM CD4+T_NMF1,0.03002888957320876,0.03002888957320876
effector CD8+T,effector CD8+T_PC3,effector CD8+T_NMF3,0.028006828124448706,0.028006828124448706
effector CD8+T,effector CD8+T_PC4,effector CD8+T_NMF4,-0.027766487362442208,0.027766487362442208
naive/TCM CD4+T,naive/TCM CD4+T_PC3,naive/TCM CD4+T_NMF2,-0.025091213213708455,0.025091213213708455
naive/TCM CD4+T,naive/TCM CD4+T_PC5,naive/TCM CD4+T_NMF1,-0.023097564564299254,0.023097564564299254
NK,NK_PC3,NK_NMF1,-0.021331571987808585,0.021331571987808585
effector CD8+T,effector CD8+T_PC7,effector CD8+T_NMF2,-0.01886695858859289,0.01886695858859289
NK,NK_PC5,NK_NMF5,-0.015894172138972037,0.015894172138972037
naive/TCM CD4+T,naive/TCM CD4+T_PC2,naive/TCM CD4+T_NMF4,0.010836347762882786,0.010836347762882786
naive/TCM CD4+T,naive/TCM CD4+T_PC3,naive/TCM CD4+T_NMF3,0.010196482432139775,0.010196482432139775
naive/TCM CD4+T,naive/TCM CD4+T_PC3,naive/TCM CD4+T_NMF1,0.009232121882776433,0.009232121882776433
effector CD8+T,effector CD8+T_PC1,effector CD8+T_NMF1,-0.009003586112798227,0.009003586112798227
effector CD8+T,effector CD8+T_PC6,effector CD8+T_NMF4,-0.007120225607104244,0.007120225607104244
NK,NK_PC5,NK_NMF2,0.006702503624595831,0.006702503624595831
effector CD8+T,effector CD8+T_PC5,effector CD8+T_NMF1,0.005305981321362296,0.005305981321362296
effector CD8+T,effector CD8+T_PC4,effector CD8+T_NMF5,-0.004997910192761124,0.004997910192761124
CD14 Mono,CD14 Mono_PC4,CD14 Mono_NMF4,0.0023294598060673837,0.0023294598060673837
