rank,feature,n_permutations,base_best_k,base_silhouette_free_k,base_silhouette_fixed_k,mean_perm_silhouette_free_k,std_perm_silhouette_free_k,min_perm_silhouette_free_k,max_perm_silhouette_free_k,mean_perm_best_k_free,mean_perm_silhouette_fixed_k,std_perm_silhouette_fixed_k,min_perm_silhouette_fixed_k,max_perm_silhouette_fixed_k,importance_free_k,importance_fixed_k,abs_importance_free_k,abs_importance_fixed_k
1,NK_PC3,50,2,0.08654065666732468,0.08654065666732468,0.10580586226689193,0.04996394643348148,0.08296306141087474,0.4343516153843891,4.44,0.09785654020064255,0.05100437164774452,0.07624675726731357,0.4343516153843891,-0.01926520559956725,-0.011315883533317875,0.01926520559956725,0.011315883533317875
2,naive/TCM CD4+T_PC1,50,2,0.08654065666732468,0.08654065666732468,0.11918856490318001,0.08535949944184945,0.0775263034671312,0.478864386686926,4.52,0.11126667781725443,0.08776573235698554,0.06025320248319025,0.478864386686926,-0.03264790823585534,-0.02472602114992975,0.03264790823585534,0.02472602114992975
3,effector CD8+T_PC1,50,2,0.08654065666732468,0.08654065666732468,0.13500056499024768,0.11124733934874279,0.07579221398361395,0.4340879247162989,5.1,0.12672578374333032,0.11425691441048223,0.06781749900667657,0.4340879247162989,-0.048459908322923004,-0.04018512707600565,0.048459908322923004,0.04018512707600565
4,CD14 Mono_PC3,50,2,0.08654065666732468,0.08654065666732468,0.15066635183487612,0.12417201940652661,0.07996037446767963,0.476190900870363,4.06,0.14229707851139284,0.12760203233233716,0.07087801495398179,0.476190900870363,-0.06412569516755144,-0.05575642184406816,0.06412569516755144,0.05575642184406816
5,effector CD8+T_PC4,50,2,0.08654065666732468,0.08654065666732468,0.16939179854479514,0.14322919669470807,0.0755923999188989,0.43869932999181416,3.96,0.16502855505921177,0.14550991738456892,0.07462320442970928,0.43869932999181416,-0.08285114187747046,-0.07848789839188709,0.08285114187747046,0.07848789839188709
6,naive/TCM CD4+T_PC3,50,2,0.08654065666732468,0.08654065666732468,0.18569974372513853,0.1580202744322529,0.08123878389004478,0.5117432510822589,4.32,0.17702928813173016,0.1628676661359001,0.06891420296600521,0.5117432510822589,-0.09915908705781386,-0.09048863146440549,0.09915908705781386,0.09048863146440549
7,CD14 Mono_PC1,50,2,0.08654065666732468,0.08654065666732468,0.22747925208448413,0.1673229516830347,0.0758910608190883,0.44125927943808346,3.56,0.223343484934829,0.1707236547419689,0.07503103591258213,0.44125927943808346,-0.14093859541715947,-0.13680282826750434,0.14093859541715947,0.13680282826750434
8,NK_PC4,50,2,0.08654065666732468,0.08654065666732468,0.2644221357507031,0.16622840281215742,0.08920733148986205,0.5022726873780203,3.92,0.2576705451366512,0.17299814443002037,0.07244500527772964,0.5022726873780203,-0.17788147908337842,-0.17112988846932653,0.17788147908337842,0.17112988846932653
9,patient_cd16_score_mean,50,2,0.08654065666732468,0.08654065666732468,0.26446549428168387,0.17552873694301127,0.07936308187418768,0.45020244680165605,4.38,0.2596685604331913,0.18022164415302896,0.07104341521710142,0.45020244680165605,-0.17792483761435918,-0.17312790376586662,0.17792483761435918,0.17312790376586662
10,CD14 Mono_PC2,50,2,0.08654065666732468,0.08654065666732468,0.27086977601744366,0.1758605928704878,0.07964642386252814,0.4951428821927116,3.74,0.2679606108888878,0.1787938387887161,0.07634599120502192,0.4951428821927116,-0.18432911935011898,-0.1814199542215631,0.18432911935011898,0.1814199542215631
11,NK_PC2,50,2,0.08654065666732468,0.08654065666732468,0.29069840724410245,0.17374057122229497,0.08074606979599876,0.4752554199931273,3.6,0.2868507640870516,0.17809235991506306,0.08074606979599876,0.4752554199931273,-0.20415775057677776,-0.20031010741972693,0.20415775057677776,0.20031010741972693
12,NK_PC5,50,2,0.08654065666732468,0.08654065666732468,0.30890964011892447,0.178017520300865,0.07812254311161525,0.49770826696579723,3.34,0.30498901213246077,0.18279868634335036,0.07520545535677801,0.49770826696579723,-0.22236898345159978,-0.21844835546513608,0.22236898345159978,0.21844835546513608
13,effector CD8+T_PC5,50,2,0.08654065666732468,0.08654065666732468,0.30811336246368204,0.17518446934444887,0.0836750430294076,0.4755219353416681,2.86,0.3056854317990473,0.17819428702861825,0.08188721027179671,0.4755219353416681,-0.22157270579635735,-0.2191447751317226,0.22157270579635735,0.2191447751317226
14,CD14_CD16_SBP_2part_ilr,50,2,0.08654065666732468,0.08654065666732468,0.31097557124676084,0.17237833869388094,0.0895742687108668,0.455963675016006,3.72,0.3062259830219106,0.17823709402998433,0.08527674787970989,0.455963675016006,-0.22443491457943615,-0.21968532635458593,0.22443491457943615,0.21968532635458593
15,patient_cd14_minus_cd16_score_mean,50,2,0.08654065666732468,0.08654065666732468,0.32527992203693457,0.1687398369956965,0.09476576381883868,0.4536456629494448,3.7,0.32063093509956514,0.17500846096332234,0.08297107449787332,0.4536456629494448,-0.23873926536960988,-0.23409027843224045,0.23873926536960988,0.23409027843224045
16,effector CD8+T_PC7,50,2,0.08654065666732468,0.08654065666732468,0.32528589254793666,0.17266511532360196,0.08969750490972123,0.494686347231674,3.0,0.3222448611296387,0.17677867375805253,0.07188352171903878,0.494686347231674,-0.23874523588061197,-0.235704204462314,0.23874523588061197,0.235704204462314
17,naive/TCM CD4+T_PC4,50,2,0.08654065666732468,0.08654065666732468,0.3297507612142416,0.166660868336204,0.08762216044329096,0.46833765505767727,3.24,0.32649121750904536,0.17124992321000287,0.07826581924385721,0.46833765505767727,-0.24321010454691688,-0.23995056084172067,0.24321010454691688,0.23995056084172067
18,naive/TCM CD4+T_PC2,50,2,0.08654065666732468,0.08654065666732468,0.3381914675619588,0.1620427141790937,0.08179065534058985,0.44889328562164765,3.06,0.33641102883253304,0.16477510219492858,0.08179065534058985,0.44889328562164765,-0.2516508108946341,-0.24987037216520835,0.2516508108946341,0.24987037216520835
19,NK_PC1,50,2,0.08654065666732468,0.08654065666732468,0.3449243580410359,0.1587325605462295,0.07679433541819358,0.4512237773939471,2.66,0.3435102901511595,0.1610346542989437,0.07342711412358789,0.4512237773939471,-0.2583837013737112,-0.25696963348383484,0.2583837013737112,0.25696963348383484
20,effector CD8+T_PC2,50,2,0.08654065666732468,0.08654065666732468,0.35974346027380055,0.1584003654789317,0.08456218220650487,0.47689347788142666,2.92,0.35761090302112025,0.1620183905033145,0.08090402373732851,0.47689347788142666,-0.27320280360647586,-0.27107024635379556,0.27320280360647586,0.27107024635379556
21,naive/TCM CD4+T_PC5,50,2,0.08654065666732468,0.08654065666732468,0.36032620976942703,0.1520202518243681,0.08949080544791549,0.48681809116755675,2.66,0.3577108638186957,0.1565893775847105,0.08364046805063617,0.48681809116755675,-0.27378555310210234,-0.271170207151371,0.27378555310210234,0.271170207151371
22,patient_naive_score_mean,50,2,0.08654065666732468,0.08654065666732468,0.3746499597816903,0.14971976355416144,0.09023029614587552,0.4806713075437925,2.92,0.3733395796301423,0.15221979954517656,0.0840052868775676,0.4806713075437925,-0.2881093031143656,-0.2867989229628176,0.2881093031143656,0.2867989229628176
23,patient_cd14_score_mean,50,2,0.08654065666732468,0.08654065666732468,0.38217339543639084,0.14311693982323145,0.08342409881119406,0.45802639924061145,2.96,0.380154961385757,0.1471688707816167,0.08027612207527077,0.45802639924061145,-0.29563273876906615,-0.2936143047184323,0.29563273876906615,0.2936143047184323
24,effector CD8+T_PC3,50,2,0.08654065666732468,0.08654065666732468,0.3829743298933314,0.13596174371625347,0.09196440816375964,0.47243568140220615,2.52,0.38108831833331264,0.13985929580282747,0.0820657179792156,0.47243568140220615,-0.2964336732260067,-0.29454766166598795,0.2964336732260067,0.29454766166598795
25,LM_SBP_2part_ilr,50,2,0.08654065666732468,0.08654065666732468,0.38972713792222113,0.1376204078303086,0.09261646437630475,0.47821227208187,2.44,0.3883305165952546,0.14061993366059486,0.0867926444302905,0.47821227208187,-0.30318648125489644,-0.3017898599279299,0.30318648125489644,0.3017898599279299
26,effector CD8+T_PC6,50,2,0.08654065666732468,0.08654065666732468,0.3918194915194635,0.13043019177880982,0.0883283080174674,0.45604659437963413,2.48,0.3905966797436683,0.13324189499359743,0.08532187582042422,0.45604659437963413,-0.3052788348521388,-0.3040560230763436,0.3052788348521388,0.3040560230763436
27,CD14 Mono_PC4,50,2,0.08654065666732468,0.08654065666732468,0.39292532793732393,0.13433146279448746,0.08676143574884472,0.4988995744940683,2.28,0.3917833115591163,0.13681608882355797,0.08263990298025765,0.4988995744940683,-0.30638467126999924,-0.3052426548917916,0.30638467126999924,0.3052426548917916
28,patient_naive_minus_cytotoxic_score_mean,50,2,0.08654065666732468,0.08654065666732468,0.3958129358216969,0.13224685806863923,0.08956658765755274,0.4584828826803175,2.54,0.39522126737611685,0.1336175697882325,0.0839453310970768,0.4584828826803175,-0.3092722791543722,-0.30868061070879216,0.3092722791543722,0.30868061070879216
29,patient_cytotoxic_score_mean,50,2,0.08654065666732468,0.08654065666732468,0.4326762509036144,0.08556384045241278,0.09401780113263307,0.47667032532120895,2.3,0.43244977656309075,0.08647283843910415,0.08968345023570068,0.47667032532120895,-0.3461355942362897,-0.34590911989576606,0.3461355942362897,0.34590911989576606
